127.0.0.1 - - [05/Nov/2018:20:28:41 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:28:46 -0500] "GET /project3/ HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:28:57 -0500] "GET /project3/login HTTP/1.1" 500 6213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:30:48 -0500] "GET /project3/home HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:30:54 -0500] "GET /project3/home HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:32:21 -0500] "GET /project3/ HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:32:22 -0500] "GET /project3/home HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:32:29 -0500] "GET /project3/login HTTP/1.1" 500 6213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:33:20 -0500] "GET /project3/home HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:33:21 -0500] "GET /project3/home HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:33:22 -0500] "GET /project3/home HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:33:22 -0500] "GET /project3/home HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:33:23 -0500] "GET /project3/home HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:33:23 -0500] "GET /project3/home HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:33:26 -0500] "GET /project3/login HTTP/1.1" 500 6196
